Name,Pattern Description,Canopy Model,Size (Ft),
SB-150-H02-CP9-0098,BLK-WHT-YEL-YEL-YEL-YEL-YEL-WHT-BLK|Tail Ribs BLK,Sabre3,150,
SA-120-H02-CP9-0077,"BLK-WHT-TUR-TUR-TUR-TUR-TUR-WHT-BLK | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,120,
SA-120-H02-CP9-0081,BLK-WHT-BLK-NBL-NBL-NBL-NBL-NBL-NBL,Sabre2,120,
SA-135-H02-CP9-0040,"RBL-WHT-SIL-WHT-RBL-RBL-RBL-RBL-RBL | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,135,
SA-135-H02-CP9-0054,"GOL-GOL-GOL-GOL-GOL-GOL-BLK-BLK-GOL | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,135,
SA-135-H02-CP9-0075,SIL-WHT-RBL-RBL-RBL-RBL-RBL-WHT-SIL,Sabre2,135,
SA-135-H02-CP9-0080,SIL-WHT-LGR-LGR-LGR-LGR-LGR-LGR-LGR,Sabre2,135,
SA-150-CPX-0034,RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL,Sabre2,150,
SA-150-H02-CP9-0039,"RED-WHT-SIL-RED-RED-RED-SIL-WHT-RED | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,150,
SA-150-H02-CP9-0066,BLK-SIL-MAG-MAG-MAG-MAG-MAG-MAG-MAG,Sabre2,150,
SA-150-H02-CP9-0080,SIL-WHT-LGR-LGR-LGR-LGR-LGR-LGR-LGR,Sabre2,150,
SA-150-RES-0040,"WHT-RBL-WHT-RBL-RBL-RBL-RBL-RBL-RBL |DOM:04/19|FABRIC:VERY GD,LINE:GOOD|$2090.00",Sabre2,150,
SA-150-RES-0042,"WHT-RBL-WHT-RBL-RBL-RBL-RBL-RBL-RBL |DOM:01/18|FABRIC:VERY GD,LINE:VERY GD|$1990.00",Sabre2,150,
SA-150-RES-0049,"WHT-RBL-WHT-RBL-RBL-RBL-RBL-RBL-RBL |DOM:04/19|FABRIC:VERY GD,LINE:GOOD|$1990.00",Sabre2,150,
SA-170-CPX-0035,RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL,Sabre2,170,
SA-170-CPX-0037,RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL,Sabre2,170,
SA-170-H02-CP9-0054,GOL-GOL-GOL-GOL-GOL-GOL-BLK-BLK-GOL,Sabre2,170,
SA-170-H02-CP9-0079,"BLK-WHT-BLK-LEM-LEM-LEM-LEM-LEM-LEM | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,170,
SA-190-H02-CP9-0046,RBL-RBL-WHT-RED-WHT-RED-WHT-RED-WHT Stabilizers:WHT,Sabre2,190,
SB-097-H02-CP9-0099,BLK-WHT-TUR-TUR-TUR-TUR-TUR-WHT-BLK|Tail Ribs BLK,Sabre3,97,
SB-107-H02-CP9-0100,BLK-WHT-RED-RED-RED-RED-RED-WHT-BLK|Tail Ribs BLK,Sabre3,107,
SB-120-H02-CP9-0100,BLK-WHT-RED-RED-RED-RED-RED-WHT-BLK|Tail Ribs BLK,Sabre3,120,
SB-135-H02-CP9-0098,BLK-WHT-YEL-YEL-YEL-YEL-YEL-WHT-BLK|Tail Ribs BLK,Sabre3,135,
SB-135-H02-CP9-0100,BLK-WHT-RED-RED-RED-RED-RED-WHT-BLK|Tail Ribs BLK,Sabre3,135,
SB-150-H02-CP9-0097,BLK-WHT-WAT-WAT-WAT-WAT-WAT-WHT-BLK|Tail Ribs BLK,Sabre3,150,
SB-150-H02-CP9-0099,BLK-WHT-LGR-LGR-LGR-LGR-LGR-WHT-BLK|Tail Ribs BLK,Sabre3,150,
SB-150-H02-CP9-0100,BLK-WHT-RED-RED-RED-RED-RED-WHT-BLK|Tail Ribs BLK,Sabre3,150,
SB-190-H02-CP9-0097,BLK-WHT-WAT-WAT-WAT-WAT-WAT-WHT-BLK|Tail Ribs BLK,Sabre3,190,
SB-210-H02-CP9-0096,BLK-WHT-TUR-TUR-TUR-TUR-TUR-WHT-BLK|Tail Ribs BLK,Sabre3,210,
SB-210-H02-CP9-0099,BLK-WHT-LGR-LGR-LGR-LGR-LGR-WHT-BLK|Tail Ribs BLK,Sabre3,210,
SB-230-H05-CP9-0100,BLK-WHT-RED-RED-RED-RED-RED-WHT-BLK|Tail Ribs BLK,Sabre3,230,
SP-135-CP7-0087,"RBL-BLK-RBL-RBL-RBL-RBL-RBL | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Spectre,135,
